title,board_title
Incomplete Features,Full Stack Project
Features to Review,Full Stack Project
Complete Features,Full Stack Project
Open Issues,Full Stack Project
Completed Issues,Full Stack Project
Outstanding Daily Prep,Restaurant Operations
Completed Daily Prep,Restaurant Operations
Orders to Place,Restaurant Operations
Orders Placed,Restaurant Operations
Orders Received,Restaurant Operations
Pending Schedules,Restaurant Operations
Completed Schedules,Restaurant Operations
To Do,Surprise Party Planning
Need Help,Surprise Party Planning
Handed Off,Surprise Party Planning
Completed,Surprise Party Planning
Family To Do,Holiday Shopping
Family Need Ideas,Holiday Shopping
Family Completed,Holiday Shopping
Friends To Do,Holiday Shopping
Friends Completed,Holiday Shopping
Planning Required,Vacation Planning
Awaiting Response,Vacation Planning
Booked,Vacation Planning
Team To Do,Bowling League
Team Completed,Bowling League
League To Do,Bowling League
League Completed,Bowling League
